id,title,context,question,answers
11,damage / Aircraft ground damages,"In 2021, there were three aircraft ground damages, including one incident (related to aircraft damage) and two accidents (involved crew member injuries during ground movement).",how much is (was) aircraft ground damages?,"{'answer_start': [20], 'text': ['three']}"
12,What percentage of the airline's leadership team are people of color?,"Southwest Airlines has committed to creating a diverse and inclusive workplace and has set a goal to increase diversity among its leadership team. In 2021, 38% of Southwest's leadership team were people of color, an increase from 33% in 2019. The airline also aims to have women make up 30% of its senior leadership team by 2025. Southwest has implemented diversity and inclusion training and launched employee resource groups to support underrepresented groups.",Diversity,"{'answer_start': [-1], 'text': ['0.38']}"
13,Aviation Safety Action Program,"In the ASAP program, airline employees can submit anonymous, voluntary reports without fear of being reprimanded by their employer, and without fear of being legally implicated by the FAA through their report. Reports remain anonymous and can be paired with data from flight recorders to analyze the entire scope of the situation.​",how much is (was) aviation safety action?,"{'answer_start': [-1], 'text': ['No answer exists']}"
14,Spills,"In 2018, we had no spills that were reportable to the National Response Center per regulatory requirements. We recognize that spills of chemicals, oils, and fuels can have a significant impact on our planet, so we make every effort to prevent them. However, we acknowledge that despite our best efforts, some spills do happen because of equipment failure or human error. We provide our Employees 24/7 access to guidance and emergency response assistance with spill response, and we track our spills using an online spill reporting form. This not only makes it simple for our Employees to report a spill in a timely and accurate manner, but it also provides automatic notification to the entire Environmental Services Team upon submittal for quick response and regulatory agency reporting when required. The Environmental Services Team also compiles and analyzes details from all spills so operating groups can assess spill prevention strategies.",how much is (was) Spills recorded?,"{'answer_start': [4], 'text': ['0']}"
15,What measures has the airline implemented to improve the sustainability of its operations?,"Southwest Airlines has implemented various measures to improve the sustainability of its operations. The airline uses fuel-efficient aircraft and sustainable aviation fuel to reduce its carbon footprint and has a goal to reduce its greenhouse gas emissions by 28% by 2025. Southwest Airlines also uses renewable energy at its airports and facilities, including solar power and geothermal energy. The airline has been recognized for its sustainability efforts by various organizations, including the Air Transport World Eco-Airline of the Year award.",Sustainable Operations,"{'answer_start': [-1], 'text': ['Use of fuel-efficient aircraft, sustainable aviation fuel, and renewable energy']}"
16,Scope 1+2 Carbon Emissions,"The Scope 1+2 Carbon Emissions is 730.4.Another way that airlines can reduce their carbon emissions is by encouraging their customers to take more sustainable travel options. For example, some airlines offer carbon offset programs that allow passengers to offset the carbon emissions from their flight by investing in renewable energy or other sustainability initiatives.",What is the Scope 1+2 Carbon Emissions for DEUTSCHE LUFTHANSA AG?,"{'answer_start': [34], 'text': ['730.4']}"
17,modern slavery score,"In conclusion, the modern slavery score is an important metric for airlines to measure and improve their efforts to prevent and eliminate modern slavery in their supply chains. By adopting proactive policies and procedures, collaborating with stakeholders, and engaging with consumers, airlines can help to create a more sustainable and ethical aviation industry.The modern slavery score is 8. ",what is the modern slavery score forDELTA AIR LINES INC?,"{'answer_start': [391], 'text': ['8']}"
18,SGD Revenue,"SGD Revenue is 0 %. Airlines must also be able to manage risk in order to maximize revenue and profitability. This can include measures such as hedging fuel prices, managing currency risk, and investing in insurance policies to protect against unforeseen events such as natural disasters or political instability.",what is the SGD Revenue % for KESTREL BIDCO INC?,"{'answer_start': [15], 'text': ['0']}"
19,share rights awarded to employees,"A Recovery and Retention program, awarding 1,000 share rights to 17,000 eligible non-executive employees and awarding managers and senior executives a share right-based bonus in August 2023, subject to performance and service conditions being met. Share rights are a common form of compensation awarded to employees in the airline industry. These rights can come in the form of stock options, restricted stock units, or other forms of equity.",How many share rights will be awarded to employees in August 2023?,"{'answer_start': [0], 'text': ['A Recovery and Retention program, awarding 1,000 share rights to 17,000 eligible non-executive employees and awarding managers and senior executives a share right-based bonus in August 2023, subject to performance and service conditions being met.']}"
20,giving,"$50M+ donated in 2018 by Delta and 
The Delta Air Lines Foundation to community partners",how much is (was) global giving?,"{'answer_start': [-1], 'text': ['$50 M']}"
21,SGD Revenue,"Revenue is also impacted by factors such as competition, fuel costs, and economic conditions. In a highly competitive market such as Singapore, airlines must work to differentiate themselves and offer competitive pricing in order to attract passengers and generate revenue. Fuel costs can also have a significant impact on revenue, with fluctuations in oil prices affecting airline profitability. SGD Revenue is 100 %.",what is the SGD Revenue % for GOL LUXCO SA?,"{'answer_start': [412], 'text': ['100']}"
22,emissions,We’ve developed a pathway to net-zero emissions by 2050 that aligns to the Paris Agreement and the aviation industry's Destination 2050 initiative. Ryanair's pathway shows that decarbonisation and alignment with EU climate targets is possible.,When does the airline plan to hit net-zero emissions.,"{'answer_start': [51], 'text': ['2050']}"
23,REV PASS MILES,"The REV PASS MILES is 1552.136206.Airlines can use Rev Pass miles to incentivize passengers to book directly with them, rather than through third-party booking sites or other channels. By offering exclusive rewards and benefits to loyalty program members, airlines can encourage passengers to book directly and build a stronger relationship with them.",What is the rev pass miles for KOREAN AIR LINES?,"{'answer_start': [22], 'text': ['1552.136206']}"
24,anti-bribery training,Over 8500 employees of Cathay Pacific and its subsidiaries have undertaken anti-bribery training during 2021.,How many employees have undertaken the anti-bribery in 2021?,"{'answer_start': [5], 'text': ['8500']}"
25,SGD Revenue,"SGD Revenue is 100 %. In order to remain competitive and maximize revenue, airlines must also focus on innovation and differentiation. This can include offering new and unique services to customers, investing in new technologies, and expanding their route networks to capture new markets.",what is the SGD Revenue % for SPIRIT AIRLINES INC?,"{'answer_start': [15], 'text': ['100']}"
26,SGD Revenue,"SGD Revenue is 100 %. In addition to passenger revenue, airlines also generate revenue from cargo transport in Singapore. The country's strategic location in Southeast Asia and its status as a major financial center make it an attractive market for air freight, and airlines must compete with other cargo carriers to capture a share of this revenue stream.",what is the SGD Revenue % for SOUTHWEST AIRLINES CO?,"{'answer_start': [15], 'text': ['100']}"
27,"Carbon footprint, United Airlines","According to the United Airlines' 2020 ESG report, their Scope 1 and 2 emissions were 8.25 million metric tons of CO2 equivalent. They are committed to reducing their emissions by 100% by 2050 and have implemented various initiatives such as using sustainable aviation fuel and investing in more fuel-efficient aircraft.",What is the carbon footprint of United Airlines?,"{'answer_start': [86], 'text': ['8.25 million metric tons']}"
28,controversy total count,"The controversy total count was 0.037452256.Strikes and labor negotiations have become increasingly common in the industry, with some airlines experiencing significant disruptions as a result.Passenger mistreatment has also been a major source of controversy for airlines. Incidents such as the violent removal of a passenger from a United Airlines flight in 2017 and the death of a dog on a United flight in 2018 sparked widespread outrage and prompted calls for greater accountability and transparency in the industry.",what was the controversy total count for SPIRIT AIRLINES INC? ,"{'answer_start': [32], 'text': ['0.037452256']}"
29,SAF agreements,"2021 was a significant year for the Group SAF programme. It remains on track with a total of €8.6m million invested in SAF agreements. British Airways, Iberia and Vueling all operated flights using SAF blends, and IAG airlines had uptakes of mandated SAF volumes in Norway and Sweden.",How much was invested in SAF agreements in 2021?,"{'answer_start': [57], 'text': ['It remains on track with a total of €8.6m million invested in SAF agreements.']}"
30,REV PASS MILES,"The REV PASS MILES is 86.75682755. Another way that airlines can leverage Rev Pass miles is through partnerships with other companies. For example, an airline may partner with a credit card issuer to offer co-branded credit cards that allow customers to earn miles for their everyday purchases.",What is the rev pass miles for WIZZ AIR?,"{'answer_start': [22], 'text': ['86.75682755']}"
31,Spills,"Our total spill volume for 2011, resulting from a total of 51 spill incidents, was approximately 650 gallons at Southwest Airlines-controlled facilities. None of the spill incidents in 2011 required reporting to the National Response Center or in our financial statements as a liability.",how much is (was) Spills recorded in 2011?,"{'answer_start': [97], 'text': ['650 gallons']}"
32,aircraft certified / Chapter 5 noise limits,"These next generation aircraft have lower emissions, longer range and produce less noise. The newer aircraft and engines will reduce emissions by at least 15 per cent if running on fossil fuels.",how much is (was) Percent of chapter 5 noise limits?,"{'answer_start': [0], 'text': ['These next generation aircraft have lower emissions, longer range and produce less noise.']}"
33,waste,"American Airlines reported diverting 21,000 tons of waste from landfills in 2019. The airline recycles items such as aluminum cans, paper, and plastic bottles. American Airlines also donates unused food and beverages to local food banks and charities. In addition, the airline has implemented measures to reduce its use of single-use plastics, such as replacing plastic stirrers and cocktail picks with sustainable alternatives.",How does American Airlines reduce its waste?,"{'answer_start': [-1], 'text': ['21000']}"
34,Scope 1+2 Carbon Emissions,"The Scope 1+2 Carbon Emissions is 759.6. One way that airlines can reduce their carbon emissions is by investing in more fuel-efficient aircraft. Newer aircraft models are designed to be more efficient and produce fewer emissions than older models. Airlines can also improve the efficiency of their operations by optimizing flight paths, reducing idle time on the tarmac, and minimizing weight on the aircraft.",What is the Scope 1+2 Carbon Emissions for New Zealand Airlines?,"{'answer_start': [34], 'text': ['759.6']}"
35,aircraft certified / Chapter 5 noise limits,"The Lufthanse Group calculates the impact from modernising the groups' operational fleet on noise levels by using a performance indicator defined as the number of aeroplanes that meet or surpass the so called ""minus 10 dB criterion"" in the ICAO Chapter 4 standard. This standard sets forth noise limits that require all aircraft newly certified between 2006 and the end of 2017 to be lower than the Chapter 3 cumulative noise limits by 10 decibels or more. This ""minus 10 EPNdB criterion"" (EPNdB being effective percieved noise in decibels) is represented by the vertical dashed line in the overview to the left. In 2021, 99.6% of aircraft - and therefore almost all of the Group's operational fleet - met this criterion",how much is (was) Percent of chapter 5 noise limits?,"{'answer_start': [613], 'text': [""In 2021, 99.6% of aircraft - and therefore almost all of the Group's operational fleet - met this criterion""]}"
36,giving,"In 2016, more thanIn 2016, more than $16,000
was donated to the the ECOM Foundation. Total Monetary Donations
$3,280,307",how much is (was) global giving?,"{'answer_start': [-1], 'text': ['$3,280,307 ']}"
37,controversy total count,"Labor disputes can also be a significant source of controversy in the airline industry. This can include strikes, disputes over working conditions, and other issues related to employee rights and benefits. These disputes can impact airline operations and lead to negative publicity and public criticism.The controversy total count was 0.002342044",what was the controversy total count for ALLEGIANT TRAVEL CO? ,"{'answer_start': [335], 'text': ['0.002342044']}"
38,giving,"Engaging our Customers in a giving campaign to support American Red Cross, Team Rubicon, and Feeding America and their eJorts at the frontlines of the pandemic, helping raise more than $650,000",how much is (was) global giving?,"{'answer_start': [175], 'text': ['more than $650,000']}"
39,aircraft certified / Chapter 5 noise limits,"Percent of aircraft certified as, or meeting, Chapter 3 noise limits: 100%",how much is (was) Percent of chapter 5 noise limits for mainline in 2019?,"{'answer_start': [70], 'text': ['100%']}"
40,modern slavery score,"The modern slavery score is 8. Ultimately, the modern slavery score is a reflection of an airline's commitment to human rights and ethical business practices. By prioritizing transparency, accountability, and continuous improvement, airlines can play a key role in creating a more just and sustainable world.",what is the modern slavery score for UNITED AIRLINES HOLDINGS INC?,"{'answer_start': [28], 'text': ['8']}"
41,aircraft certified / Chapter 5 noise limits,"
Of the 596 aircraft in the Lufthansa Group’s active fleet, 593 fulfil the stringent Chapter 4 noise standard of the International Civil Aviation Organization (ICAO).",how much is (was) Percent of chapter 5 noise limits?,"{'answer_start': [-1], 'text': ['593/596']}"
42,SGD Revenue,"The company expects non-fuel costs to be up as much as 14 per cent in the current quarter from the same period in 2019, compared with a 12 per cent jump in the quarter to June.SGD Revenue is 91 %.",what is the SGD Revenue % for AIR CANADA?,"{'answer_start': [191], 'text': ['91']}"
43,How does the airline plan for sustainable operations?,United Airlines plans for sustainable operations through the use of environmental modeling and analysis. The airline uses sophisticated computer models to predict the environmental impact of its operations,Sustainable Operations Planning,"{'answer_start': [-1], 'text': ['Through the use of environmental modeling and analysis']}"
44,damage / Aircraft ground damages,"The Material is from table. Thus, the context is same from answer. In 2021, there are 2.37 mainline and 0.72 regional aircraft ground demages . In 2020, there are 2.16 mainline and 0.81 aircraft ground demages. In 2019, there are 1.61 and 0.72 aircraft ground demages",how much is (was) aircraft ground damages?,"{'answer_start': [67], 'text': ['In 2021, there are 2.37 mainline and 0.72 regional aircraft ground demages . In 2020, there are 2.16 mainline and 0.81 aircraft ground demages. In 2019, there are 1.61 and 0.72 aircraft ground demages']}"
45,modern slavery score,"The modern slavery score is 8. Airlines can leverage technology and data analytics to improve their modern slavery score and identify potential risks in their supply chains. For example, blockchain technology can be used to increase transparency and traceability in supply chains, while machine learning algorithms can help to identify patterns and anomalies that may indicate modern slavery risks.",what is the modern slavery score for BRITISH AIRWAYS?,"{'answer_start': [28], 'text': ['8']}"
46,modern slavery score,"The global pandemic has highlighted the need for greater resilience and sustainability in supply chains, including in the aviation industry. Airlines that prioritize ethical and sustainable practices are better positioned to weather disruptions and build long-term resilience and competitiveness.The modern slavery score is 8. ",what is the modern slavery score for UNITY 1 SUKUK LTD?,"{'answer_start': [324], 'text': ['8']}"
47,Spills,"In 2020, we had two spills that were reportable to the National Response Center per regulatory requirements. These spills were contained within an impervious area and there were no environmental impacts. We recognize that spills of chemicals, oils, and fuels can have a significant impact on our Planet, so we make every effort to prevent them.",how much is (was) Spills recorded?,"{'answer_start': [3], 'text': ['2']}"
48,SGD Revenue,"SGD Revenue is 89 %.Marketing and sales strategies can also impact airline revenue, with effective advertising and promotion helping to increase ticket sales and generate revenue. Singapore Airlines, for example, has a reputation for high-quality service and has invested heavily in advertising campaigns to promote its brand and attract customers.",what is the SGD Revenue % for BRITISH AIRWAYS?,"{'answer_start': [15], 'text': ['89']}"
49,modern slavery score,"In addition to addressing modern slavery risks, airlines must also consider other ethical and sustainability issues in their operations and supply chains. These may include environmental impacts, animal welfare, and social responsibility.The modern slavery score is 10. ",what is the modern slavery score for RYANAIR HOLDINGS PLC?,"{'answer_start': [266], 'text': ['10']}"
50,How much water does the airline save through its conservation efforts?,"JetBlue Airways has implemented water conservation measures to reduce its water usage and has set a goal to reduce its water consumption per passenger by 20% by 2025. The airline's efforts include installing low-flow faucets and toilets in its facilities, using recycled water for aircraft cleaning, and implementing leak detection systems. In 2020, JetBlue saved over 5 million gallons of water through its conservation efforts.",Water Conservation,"{'answer_start': [369], 'text': ['5 million gallons']}"
51,aviation accidents," For example,the 2012 total accident rate for IOSA carriers was 77% lower than the rate for non-IOSA operators. There were zero accidents.",how much is (was) aviation accidents in 2014?,"{'answer_start': [-1], 'text': ['Zero']}"
52,women in senior management roles,"The Qantas Group achieved our three-year gender target (2018–2021) of 38 per cent of women in senior management roles in FY21, representing a 2.8 per cent increase since June 2018. A new target has been set to increase this to 42 per cent by 2024.",How much is the percentage of women in senior management roles in FY21?,"{'answer_start': [0], 'text': ['The Qantas Group achieved our three-year gender target (2018–2021) of 38 per cent of women in senior management roles in FY21, representing a 2.8 per cent increase since June 2018.']}"
53,aviation accidents,No. of accidents: 3,how much is (was) aviation accidents in 2018?,"{'answer_start': [18], 'text': ['3']}"
54,giving,"In 2018, one airline's corporate social responsibility efforts led to a total of 35 million in donations. This significant figure reflects the airline's commitment to giving back to the community and supporting important causes around the world. By prioritizing corporate social responsibility, the airline demonstrates a dedication to creating positive social and environmental outcomes beyond their core business operations.",how much is (was) global giving in 2018?,"{'answer_start': [81], 'text': ['35 million']}"
55,What is the airline's use of sustainable aviation fuel?,"Alaska Airlines has implemented various measures to reduce its carbon footprint, including the use of sustainable aviation fuel. The airline has a goal to use 20% sustainable aviation fuel in its operations by 2020 and has already achieved this goal. Sustainable aviation fuel has a significantly lower carbon footprint than traditional jet fuel and can reduce carbon emissions by up to 80%. Alaska Airlines has also implemented various measures to improve the energy efficiency of its operations, such as installing winglets on its aircraft to reduce drag and improve fuel efficiency.",Sustainable Aviation Fuel,"{'answer_start': [-1], 'text': ['Increased use of sustainable aviation fuel in operations']}"
56,Aviation Safety Action Program,"United was the first airline to require masks on airplanes. We were among the first large employers in America that required our people to get vaccinated. We were the only major US airline to run auxiliary power on airplanes to keep air flowing during enplaning and deplaning – a key factor in preventing the spread of COVID-19 onboard. Some of these decisions were controversial or costly, but it was the right thing to do.",how much is (was) aviation safety action?,"{'answer_start': [-1], 'text': ['No answer exists']}"
57,Spills,"The e-commerce giant launched its operations at the airport in August 2021. Salon first learned about the incident via an anonymous whistleblower, who feared exposing their identity for fear of retaliation. Salon confirmed the incident directly with Cincinnati/Northern Kentucky International Airport spokesperson Mindy Kershner.There were 2 spills recorded.",how much is (was) Spills recorded in 2019?,"{'answer_start': [70], 'text': ['2']}"
58,SGD Revenue,"Ancillary services are an increasingly important source of revenue for airlines, and include services such as baggage fees, seat selection fees, and in-flight entertainment. Singapore Airlines, for example, offers a range of ancillary services to passengers, including premium economy seating, additional baggage allowances, and airport lounge access. SGD Revenue is 98 %.",what is the SGD Revenue % for EASYJET PLC?,"{'answer_start': [367], 'text': ['98']}"
59,Supplier Sustain,"Alaska Airlines has achieved a Gold Level rating from the Sustainable Purchasing Leadership Council for its supplier sustainability practices. The airline has implemented several initiatives to promote sustainable procurement, such as prioritizing suppliers that share its commitment to environmental and social responsibility. Alaska has also set a goal of achieving carbon neutrality for its global operations by 2040, through a combination of fuel efficiency improvements, sustainable aviation fuel adoption, and carbon offsets. The airline has also implemented several measures to reduce its greenhouse gas emissions, such as investing in",What is an airline's supplier sustainability score?,"{'answer_start': [31], 'text': ['Gold Level']}"
60,aircraft certified / Chapter 5 noise limits,"In 2011, 100 percent of the planes in Lufthasen's fleet comply with ICAO Chapter 3 noise regulations.",how much is (was) Percent of chapter 5 noise limits?,"{'answer_start': [-1], 'text': ['100%']}"
61,Environment penalty,"The Material is from table. Thus, the context is same from answer. There is no environment penalty paid in 2021,2020, 2019, and 2018",How much environment penalty was paid each year?,"{'answer_start': [67], 'text': ['There is no environment penalty paid in 2021,2020, 2019, and 2018']}"
62,REV PASS MILES,"The REV PASS MILES is 261.1162014. Rev Pass miles can also be used to support charitable causes. Some airlines allow passengers to donate their miles to charitable organizations, which can then use the miles to support their programs and services.",What is the rev pass miles for HAWAIIAN AIRLINES?,"{'answer_start': [22], 'text': ['261.1162014']}"
63,What percentage of the airline's charitable donations support local communities?,"Frontier Airlines has a commitment to supporting the communities it serves and has a charitable giving program that focuses on education, the environment, and animal welfare. The airline's charitable donations are primarily directed towards local organizations in the communities it serves, and 75% of its donations support these organizations. Frontier Airlines also encourages its employees to volunteer in their communities and offers a volunteer time off program.",Community Engagement,"{'answer_start': [-1], 'text': ['0.75']}"
64,Spills,"We recognize that spills of chemicals, oils, and fuels can have significant impact on our planet, so we make every effort to prevent them. However, we acknowledge that despite our best efforts, some spills do happen. In order to be more transparent, we have summarized our recent spill history. Our total spill volume for all incidents in 2010 was approximately 1,000 gallons at Southwest Airlines-controlled facilities. None of the spill incidents in 2010 required reporting on our financial statements as a liability, and this total includes spills that were not required to be reported by regulatory standards. We are currently in the process of upgrading our spill tracking methods and expect to be able to further refine this metric in the 2011 Southwest Airlines One ReportTM.",how much is (was) Spills recorded in 2010?,"{'answer_start': [362], 'text': ['1,000 gallons']}"
65,Does the airline offer carbon offsets to passengers?,American Airlines offers a carbon offset program to passengers as part of its commitment to reducing its carbon footprint. The program allows passengers to offset the carbon emissions associated with their flight by supporting verified carbon reduction projects around the world. American Airlines works with third-party providers to ensure the integrity and effectiveness of the carbon reduction projects. The airline also invests in sustainable aviation fuels and fuel-efficient aircraft to reduce its carbon emissions.,Carbon Offsets,"{'answer_start': [-1], 'text': ['Yes']}"
66,energy,"Delta Airlines reported using 4.4 billion kWh of electricity in its facilities in 2019. The airline has implemented a number of energy-saving measures, such as LED lighting and efficient heating and cooling systems. Delta Airlines also invests in renewable energy projects, such as wind and solar power, to reduce its reliance on fossil fuels.",What is the energy usage of Delta Airlines' facilities?,"{'answer_start': [30], 'text': ['4.4']}"
67,Spills,"We recognize that spills of chemicals, oils, and fuels can have a significant impact on our planet, so we make every effort to prevent them. However, we acknowledge that despite our best efforts, some spills do happen because of equipment failure or human error. We provide our Employees 24/7 access to guidance and emergency response assistance with spill response, and we track our spills using an online spill reporting form. This not only makes it simple for our Employees to report a spill in a timely and accurate manner, but it also provides automatic notification to the entire Environmental Services Team upon submittal for quick response and regulatory agency reporting when required. The Environmental Services Team also compiles and analyzes details from all spills so operating groups can assess spill prevention strategies. In 2016, we had four spills that were reportable to the National Response Center per regulatory requirements. None of the spills required reporting in our financial statements as a liability.",how much is (was) Spills recorded?,"{'answer_start': [289], 'text': ['4']}"
68,giving,"Airlines often engage in corporate social responsibility initiatives, and in the case of one airline, their in-kind giving had a value of $7,025,675. This type of giving can take many forms, such as donating flights or providing equipment and supplies to support disaster relief efforts. These initiatives demonstrate the airline's commitment to giving back to the community and supporting those in need.",how much is (was) global giving in 2019?,"{'answer_start': [-1], 'text': ['$7,025,675 ']}"
69,fleet,"As of 2021, American Airlines reported that 65% of their mainline fleet consisted of fuel-efficient aircraft, including the Boeing 787 Dreamliner.",What percentage of the airline's fleet is fuel-efficient?,"{'answer_start': [-1], 'text': ['0.65']}"
70,Plastic water bottles replacement,"We made significant progress toward our goal of replacing the top five sources of waste from our onboard service by 2025, having replaced the top two in 2021. Working with Boxed Water, we replaced 32 million plastic water bottles per year with recyclable water cartons that have plant-based caps. We also replaced plastic water cups with recyclable paper ones. These alternatives enable us to keep 1.8 million pounds of plastic waste out of the landfill each year.",How many plastic water bottles are replaced each year?,"{'answer_start': [185], 'text': ['we replaced 32 million plastic water bottles per year with recyclable water cartons that have plant-based caps. ']}"
71,Spills,"93 combined Class I and 
Class II spills",how much is (was) Spills recorded in 2019?,"{'answer_start': [0], 'text': ['93']}"
72,training fee,"In 2021, the total training spend at Cathay Pacific is HK$130 million.",What is the total training fee in 2021?,"{'answer_start': [55], 'text': ['HK$130']}"
73,Waste recycling,"Southwest Airlines has a goal of recycling 40% of its waste by 2025. To achieve this goal, the airline is implementing recycling programs on its planes and in its offices. The airline has also reduced the amount of single-use plastics on its flights and is using more sustainable materials for in-flight products. Additionally, Southwest is partnering with waste management companies to improve its recycling efforts and divert waste from landfills.",What percentage of an airline's waste is recycled?,"{'answer_start': [-1], 'text': ['0.4']}"
74,external applications,"Interest in working for the Qantas Group has continued to grow, with approximately 115,000 external applications in the last 12 months for more than 4,700 advertised roles. Despite the high number of applicants, we are still working to fill a significant number of roles with specific requirements and critical skills, such as those in engineering, freight and logistics. Operational recruitment remains a priority and we have recruited substantial numbers of cabin crew and pilots as flying returned and will continue to do so.",How much was external applications in the last 12 months?,"{'answer_start': [0], 'text': ['Interest in working for the Qantas Group has continued to grow, with approximately 115,000 external applications in the last 12 months for more than 4,700 advertised roles.']}"
75,new domestic routes,"With international borders closed, the Qantas Group responded to the increase in local travel with the launch of 20 new domestic routes in FY22, including to regional centres such as Busselton, Burnie and Broken Hill. The airline industry is constantly expanding its domestic routes to meet the growing demand of travelers. In recent years, several airlines have added new domestic routes to their schedules, offering more options for passengers traveling within the United States.",How many new domestic routes were launched in FY22?,"{'answer_start': [0], 'text': ['With international borders closed, the Qantas Group responded to the increase in local travel with the launch of 20 new domestic routes in FY22, including to regional centres such as Busselton, Burnie and Broken Hill.']}"
76,fuel usage,"307,000,000 USG of fuel were burned",How many tons of fuel were burned in 2021?,"{'answer_start': [0], 'text': ['307,000,000 USG']}"
77,Emissions,"In 2019, Southwest Airlines reported that its carbon emissions per passenger mile were 0.32 pounds of CO2e. The airline has set a goal of reducing its emissions by 50% by 2050. Southwest has implemented several measures to reduce its carbon footprint, such as using more fuel-efficient planes and implementing a single-engine taxiing program. The airline has also invested in sustainable aviation fuel and has partnered with the National Renewable Energy Laboratory to study the use of alternative fuels. Southwest has set a goal of carbon neutrality for its global corporate operations by 2050.",What is an airline's carbon emissions per passenger mile?,"{'answer_start': [87], 'text': ['0.32 pounds of CO2e']}"
78,Fines Amount,"Under DOT rules, U.S. airlines operating aircraft with 30 or more passenger seats are prohibited from allowing their domestic flights to remain on the tarmac for more than three hours without giving passengers an opportunity to leave the plane.The fines amount was 0.000876234. ",what is the fines amount for HAWAIIAN AIRLINES INC? ,"{'answer_start': [265], 'text': ['0.000876234']}"
79,emissions,"One important aspect of corporate social responsibility for airlines is reducing their environmental impact. Recently, one airline reported a mainline aircraft gross emission of 21253316. While this figure may seem high, the airline has implemented a range of measures to reduce its carbon footprint, such as investing in more fuel-efficient aircraft and reducing fuel consumption through optimized flight paths. By taking these steps, the airline demonstrates a commitment to creating a more sustainable future for the aviation industry.",What is mainline aircraft gross emission in 2021?,"{'answer_start': [-1], 'text': ['21,253,316']}"
80,Global Aviation Emissions Policies,"While JetBlue’s operation remains based in North and Central America, with the exception of our network expansion to London in Q3 2021, we continue to track emerging environmental aviation policy that impacts airlines in other parts of the world. Climate change and emissions from aviation both have global implications, and we view sustainable policy development in any part of the world as relevant to our operation and strategy.",what are the emissions policies? ,"{'answer_start': [-1], 'text': ['No answer exists']}"
